csv_ApplicantFirst,csv_ApplicantMiddle,csv_ApplicantLast,csv_ApplicantStreet,csv_ApplicantCity,csv_ApplicantState,csv_ApplicantStateID,csv_ApplicantZip,csv_ApplicantSSN,csv_ApplicantDOB
PHYLLIS,A,BRANHAM,2815 KENSINGTON,PEARLAND,TX,54,77581,666-18-0543,9/14/1990
LACEY,E,HARPER,24838 NEWHALL,NEWHALL,CA,9,91321,666-18-0687,9/15/1990
J,,FINN,6734 ROBISON,SALINE,MI,30,48176,666-18-0771,9/16/1990
EARNEST,,BODZAK,6200 INDIAN SCHOOL NE,ALBUQUERQUE,NM,40,87110,666-18-0827,9/17/1990
MICHAEL,,GRIFFIN,6340 N 1ST,FRESNO,CA,9,93710,666-18-0836,9/18/1990
RICHARD,P,DOLATA,1173 TYLER,ANNAPOLIS,MD,27,21403,666-18-0945,9/19/1990
DONALD,L,BURKHART,4203 ATRIUM,SACRAMENTO,CA,9,95834,666-18-1034,9/20/1990
RANDOLF,F,BOOTS          SR,379 MEEK,SHARON,PA,47,16146,666-18-1143,9/21/1990
LARRY,C,BUSHNELL,320 WELCH,NASHVILLE,TN,53,37211,666-18-1162,9/22/1990
JOSEPH,P,BRADY,479 2ND AVE B 12,LIMON,CO,10,80828,666-18-1200,9/23/1990
DENNIS,P,HUNT,PO BOX 441,FORT SCOTT,KS,23,66701,666-18-1226,9/24/1990
PET,,BEHARRYSINGHLIZ,2550 ALHAMBRA,SACRAMENTO,CA,9,95817,666-18-1241,9/25/1990
ANN,,CORBISOR,7445 SW FLORENCE,PORTLAND,OR,46,97223,666-18-1386,9/26/1990
CLARA,H,BROOKS,1704 MOCKINGBIRD,MUNCIE,IN,22,47304,666-18-1522,9/27/1990
FLAIE,K,ELMORE,2767 GARDEN GROVE,GRAND PRAIRIE,TX,54,75052,666-18-1525,9/28/1990
ESTHER,,FULTON,2240 ETRINITY MILLS,CARROLLTON,TX,54,75006,666-18-1615,9/29/1990
EMILY,,BITTLINGER,1622 REVELL DOWNS,ANNAPOLIS,MD,27,21401,666-18-1749,9/30/1990
BARBARA,,BEVINS,2223I AVENUE E,BIRMINGHAM,AL,4,35218,666-18-1859,10/1/1990
KAREN,,BROOKS,1435 PENNSYLVANIA,ASHEBORO,NC,35,27203,666-18-1924,10/2/1990
DORIS,,BIBGHAM,1528 WITTEKIND,CINCINNATI,OH,44,45224,666-18-1994,10/3/1990
VILMA,,BECERRA,1046 ALTON STATION,LAWRENCEBURG,KY,24,40342,666-18-2071,10/4/1990
EDDIE,L,BRONNER,805 PRESS,LEXINGTON,KY,24,40508,666-18-2186,10/5/1990
TIMOTHY,W,INGLIS,15 MANOR,NEWTON,NJ,39,07860,666-18-2256,10/6/1990
SANDRA,,BILL,109 CAROLINE,OCEAN CITY,MD,27,21842,666-18-2257,10/7/1990
BARBARA,,BARTLEY,1241 SHARAZAD,OPA LOCKA,FL,14,33054,666-18-2278,10/8/1990
JAMES,A,ACREE,23 GREEN,CLAIRTON,PA,47,15025,666-19-1098,1/2/1990
JOANN,W,HULL,15 CAPTOLENE,BLOOMINGDALE,NJ,39,07403,666-19-1121,1/3/1990
CATHY,A,HAAS,4519 RIDGE,BALTIMORE,MD,27,21236,666-19-1215,1/4/1990
JENNIFER,C,CODY,118 KLONDIKE ST 301,HAVERHILL,MA,26,01830,666-19-1232,1/5/1990
CHARLES,,COLLINS,PO BOX 195,LA CENTER,KY,24,42056,666-19-1276,1/6/1990
KATHRYN,A,AARTILA,PO BOX 8921,LOS ANGELES,CA,9,90008,666-19-1342,1/7/1990
ISABEL,,LUGO,12B RR4,CYNTHIANA,KY,24,41031,666-19-1343,1/8/1990
HAROLD,,COLLETT,BABSON COLLEGE 600,BABSON PARK,MA,26,02157,666-19-1399,1/9/1990
TAMMY,A,LINDNER,201B HORSESHOE,COPPERAS COVE,TX,54,76522,666-19-1460,1/10/1990
ARGENTINA,M,FRIAS,11 LYNWOOD,BEAVER,PA,47,15009,666-19-1483,1/11/1990
DONNA,L,BROWN,5945 REDDMAN,CHARLOTTE,NC,35,28212,666-19-1607,1/12/1990
ROBBIE,N,MILES,5820 EVANSTON,INDIANAPOLIS,IN,22,46220,666-19-1691,1/13/1990
MARGARET,,DOWDEN,4359 MICHIGAN,LATONIA,KY,24,41015,666-19-1847,1/14/1990
ROSEMARIE,,ANDL,63 MISSISSIPPI,WEST ORANGE,NJ,39,07052,666-19-1847,1/15/1990
ELAINE,,HOMEYER,803 3RD NE,MANDAN,ND,36,58554,666-19-2118,1/16/1990
CYNTHIA,E,LYONS,780 WILLOW CREEK,FENTON,MO,32,63026,666-19-2143,1/17/1990
CHARLES,A,BISHOP,1495 STATE HWY 4,FORT EDWARD,NY,43,12828,666-19-2146,1/18/1990
LARRY,G,CUNNINGHAM,505 SANDERS,WEAVER,AL,4,36277,666-19-2152,1/19/1990
DANIBANICKI,,DANIBANICKI,515 TIFFANY,SPRINGFIELD,MA,26,01108,666-19-2153,1/20/1990
MARGARET,E,GOETZSELWAY,6624 RAMSEY TOWN,HARRISON,TN,53,37341,666-19-2222,1/21/1990
WILLIAM,G,GARRARD,3070 BENTWOOD CIRCLE SOUT,INDIANAPOLIS,IN,22,46268,666-19-2267,1/22/1990
IRENE,M,FITZPATRICK,PO BOX 555,HOUSTON,TX,54,77001,666-19-2329,1/23/1990
JAMES,,BURTON,1785 215TH,FLUSHING,NY,43,11360,666-19-2346,1/24/1990
GLINDA,,BURRELL,340 BLUE BAYOU,KISSIMMEE,FL,14,34743,666-19-2389,1/25/1990
MITRA,S,BROWN,201 RR1,CANISTOTA,SD,52,57012,666-19-2527,1/26/1990
DOROTHY,,ANDERSON,1983 OAKWELL FARMS,SAN ANTONIO,TX,54,78218,666-19-2593,1/27/1990
CLEIGHTON,L,BUSHNELL,4701 AMERICAN,EULESS,TX,54,76040,666-19-2667,1/28/1990
JONATHAN,,KROCKER,6111 WILLOWBEND,HOUSTON,TX,54,77096,666-19-2739,1/29/1990
ANNA,J,GRIFFITH,2524 SE 166TH,VANCOUVER,WA,59,98683,666-19-2875,1/30/1990
MATTHEW,J,BRENNAN,5927 N COBURN,INDIANAPOLIS,IN,22,46208,666-19-2925,1/31/1990
PHYLLIS,R,BURSE,22 ROSE,LOWELL,MA,26,01851,666-19-2962,2/1/1990
CHARLES,H,BARROWS        JR,508 MEADOWBROOK,LAKE DALLAS,TX,54,75065,666-19-2993,2/2/1990
DOROTHY,I,BEARD,3724 HACKER,LEXINGTON,KY,24,40517,666-19-3047,2/3/1990
MARCOS,D,AGUILA,89 KITCHAWAN,HAMPTON BAYS,NY,43,11946,666-19-3058,2/4/1990
JODY,J,BROWN,35 REAGAN,STOCKBRIDGE,GA,16,30281,666-19-3061,2/5/1990
ARGENTINA,A,FRIAS,80 RR2,MARYVILLE,TN,53,37801,666-19-3081,2/6/1990
M,D,BARKSDALE,29 E HICKORY,INDIANAPOLIS,IN,22,46227,666-19-3122,2/7/1990
JEFFERY,R,BAILEY,705 RIVERCHASE W,BIRMINGHAM,AL,4,35244,666-19-3145,2/8/1990
J,H,BROWN,721012 SKILLMAN,DALLAS,TX,54,75231,666-19-3239,2/9/1990
ALBRIGHT,,BONNIE,POB 1766,SKYLAND,NC,35,28776,666-19-3241,2/10/1990
CRYSTAL,A,MACMILLAN,8629 2ND N,BIRMINGHAM,AL,4,35206,666-19-3256,2/11/1990
JILL,A,HARTLEY,6400 INDUSTRIAL PARK,NORTH RICHLAND,TX,54,76180,666-19-3267,2/12/1990
MANUEL,R,AVENIVAZ,712 MAIN,ANITA,IA,19,50020,666-19-3315,2/13/1990
CLARA,B,BRADFORD,11363 AMANDA,DALLAS,TX,54,75238,666-19-3418,2/14/1990
TONI,,BARKER,1683 MILLEDGE,ATHENS,GA,16,30605,666-19-3424,2/15/1990
PHILLIP,A,HUTZELL,3534 E FALL CREEK PARKWAY NOR,INDIANAPOLIS,IN,22,46205,666-19-3582,2/16/1990
JOHN,F,ALLEY,422 BROOK HIGHLAND,BIRMINGHAM,AL,4,35242,666-19-3584,2/17/1990
HOWARD,D,HALE,5100 IDLEWILD,BURLINGTON,KY,24,41005,666-19-3597,2/18/1990
PRICILLA,,BAXTER,289 CHAPIN,SPRINGFIELD,MA,26,01104,666-19-3620,2/19/1990
JEFF,N,BALFOORT,26 GERARD,HOLYOKE,MA,26,01040,666-19-3709,2/20/1990
KELLY,J,HERRINGSHAW,406 SHEFFIELD,RICHARDSON,TX,54,75081,666-19-3741,2/21/1990
JOHN,P,BAILEY,2800 WOODS,LINCOLN,NE,37,68502,666-19-3807,2/22/1990
VICKI,A,MOREL,216 MARK TWAIN,ATHENS,GA,16,30605,666-19-3842,2/23/1990
WAR,J,BIRNIE,294 S JASPER,AURORA,CO,10,80017,666-19-3933,2/24/1990
ANNA,S,LEMELLE,2717 WINDWOOD,POPLAR BLUFF,MO,32,63901,666-19-3953,2/25/1990
JAN,,LINDSEY,3064 BERNEYS STATION,TALLADEGA,AL,4,35160,666-19-4072,2/26/1990
BRYAN,,BATTON,1161 W AVENUE B,BISMARCK,ND,36,58501,666-19-4177,2/27/1990
JEFFREY,R,BAILEY,11840 MCPHEARSN,TUSCALOOSA,AL,4,35401,666-19-4327,2/28/1990
CHARLES,J,MATTHISS,72 RR1,LAKEFIELD,MN,31,56150,666-19-4331,3/1/1990
MANUEL,R,ARENIVAZ,2 BURKI,FREEHOLD,NJ,39,07728,666-19-4497,3/2/1990
EDGARDO,,CRUZ,320 JOAL,CARRINGTON,ND,36,58421,666-19-4680,3/3/1990
TAMMIE,L,BISSETT,171 RR4,HURON,SD,52,57350,666-19-4757,3/4/1990
DAVID,J,BOWEN          SR,1833 KENMORE,LOS ANGELES,CA,9,90027,666-19-4778,3/5/1990
JERE,D,BURKETT,509 E INTERSTATE,BISMARCK,ND,36,58501,666-19-4959,3/6/1990
DANIANA,,ALBANESE,700 COMMONWEALTH,BOSTON,MA,26,02215,666-19-5043,3/7/1990
NANCY,E,MESSMAN,600 SOUTH,COVENTRY,CT,11,06238,666-19-5079,3/8/1990
TINA,,BRZEZINSKI,7816 SOUTHSIDE,JACKSONVILLE,FL,14,32256,666-19-5091,3/9/1990
DANIEL,B,BOYD,6014 EASTERN,MAYSVILLE,KY,24,41056,666-19-5095,3/10/1990
BEVERLY,S,BROWN          JR,5353 KELLER SPRINGS,DALLAS,TX,54,75248,666-19-5135,3/11/1990
ERIC,D,BROCK,9 GLENWOOD,WESTFIELD,MA,26,01085,666-19-5136,3/12/1990
LOVELESS,,BABIES,10420 HWY 31 N 346,TANNER,AL,4,35671,666-19-5140,3/13/1990
TONI,S,GODBE,199 JACKSON CO HIGH SCHOOL,MC KEE,KY,24,40447,666-19-5311,3/14/1990
JEFFREY,L,BLANTON,PO BOX 432,BOWLING GREEN,MO,32,63334,666-19-5487,3/15/1990
KAREN,K,BRENTHOUWER,1206 PEPPERMILL,ARLINGTON,TX,54,76013,666-19-5493,3/16/1990
JOSEPH,J,CENTINEO,8800 NIH 35,AUSTIN,TX,54,78753,666-19-5537,3/17/1990
CLARA,W,HACKNEY,304 GLENN,ROCKWALL,TX,54,75087,666-19-5560,3/18/1990
ERIN,F,BRENNER,121 S 13TH FL 2,NEWARK,NJ,39,07107,666-19-5644,3/19/1990
SANDRA,M,ARMANDO,319 ANNERIC,SAINT CHARLES,MO,32,63301,666-19-5672,3/20/1990
ANTHONYMRICCARD,,ANTHONYMRICCARD,115 WICKSFORD,ATLANTA,GA,16,30350,666-19-5694,3/21/1990
CORRINE,C,BROWN,9855 VALLEY RANCH W,IRVING,TX,54,75063,666-19-5702,3/22/1990
PEGGY,A,MARR,13110 KUYKENDAHL,HOUSTON,TX,54,77090,666-19-5713,3/23/1990
CAROLINE,G,MANLEY,PO BOX 29,MENARD,TX,54,76859,666-19-5753,3/24/1990
LYNDA,,BEJARANO,19 W 33RD,BAYONNE,NJ,39,07002,666-19-5835,3/25/1990
BRIAN,,BERTRAND,732 PICKENS,COLUMBIA,SC,51,29201,666-19-5868,3/26/1990
BARBARA,J,BUCHANAN,1123 HIGHFIELD,BETHEL PARK,PA,47,15102,666-19-5873,3/27/1990
JO,A,BERNSEN,PO BOX 961017,FORT WORTH,TX,54,76161,666-19-5884,3/28/1990
CATHERINE,F,BOST,11 BENOIT,WORCESTER,MA,26,01604,666-19-5910,3/29/1990
CORINA,,CAVAZOS,16 LOOK OUT,TOTOWA,NJ,39,07512,666-19-5919,3/30/1990
RACHEL,A,BRONNER,912 S ELM,LITTLE ROCK,AR,6,72204,666-19-5923,3/31/1990
BYRON,A,BARNES,2604 PHYLLIS,COPPERAS COVE,TX,54,76522,666-19-5951,4/1/1990
PAULA,,GRANGER,1092 SHARPER,CROSS,SC,51,29436,666-19-6025,4/2/1990
CHERYL,,BATES,2401 OHIO,PLANO,TX,54,75093,666-19-6091,4/3/1990
KAREN,M,KIEBOBACH,2617 BRIDLEWOOD,HELENA,AL,4,35080,666-19-6143,4/4/1990
HECTOR,J,CORAZON,11440 MCCREE,DALLAS,TX,54,75238,666-19-6161,4/5/1990
LISA,J,LUNDY,PO BOX 238,SHEFFIELD,MA,26,01257,666-19-6232,4/6/1990
SILVIANO,Z,BEAS,PO BOX 5453,COLLEGE STATION,TX,54,77844,666-19-6281,4/7/1990
WILLIAM,,CARPENTER,612 W RICHWOODS,PEORIA,IL,21,61604,666-19-6367,4/8/1990
JO,A,BERNSEN,27 SCHUYLER,NEWARK,NJ,39,07112,666-19-6470,4/9/1990
LAURA,,BARNES,548 BROADWAY,CHICOPEE,MA,26,01020,666-19-6605,4/10/1990
LOU,,FAENZA,405C RR3,JACKSON,GA,16,30233,666-19-6668,4/11/1990
DWAYNE,,KUHN,115 71ST,GUTTENBERG,NJ,39,07093,666-19-6676,4/12/1990
BIRANDA,,BAKER,4603 PINE VALLEY,FRISCO,TX,54,75034,666-19-6690,4/13/1990
LARRY,A,CREEKMORE,328 E SOUTHWEST,LEWISVILLE,TX,54,75067,666-19-6800,4/14/1990
BROOKE,,BARTUFF,5026 TIMBERLINE,BIRMINGHAM,AL,4,35210,666-19-6800,4/15/1990
JAS,F,BUCKINGHAM,2823 WILLOW,CLOVIS,CA,9,93612,666-19-6804,4/16/1990
GLORIA,,BOYKIN,4302 WOFFORD,FORT RILEY,KS,23,66442,666-19-6838,4/17/1990
SUSAN,L,BRONSON,17 DI FRANCO,O FALLON,MO,32,63366,666-19-6857,4/18/1990
B,K,BEISER,71 MINNISINK,SHORT HILLS,NJ,39,07078,666-19-7026,4/19/1990
SADAF,O,BIGLARI,224921 SAN JACINTO,PERRIS,CA,9,92570,666-19-7078,4/20/1990
ERICA,E,LAMBERT,502 S MATTIS,CHAMPAIGN,IL,21,61821,666-19-7225,4/21/1990
GEORGE,G,JOHNSON,PO BOX 1318,ALABASTER,AL,4,35007,666-19-7253,4/22/1990
PEGGY,M,COINER,7100 BOULEVARD E,GUTTENBERG,NJ,39,07093,666-19-7305,4/23/1990
GILDA,L,HAMILTON,250 W 2ND,OSWEGO,NY,43,13126,666-19-7322,4/24/1990
JACKIE,C,BOWIE,114 W MAPLE,HARTFORD,IL,21,62048,666-19-7325,4/25/1990
CYNTHIA,C,DAUGHTERY,361 INKOPAH,CHULA VISTA,CA,9,91911,666-19-7435,4/26/1990
ROBERT,,BARNARD,122 DAVID,NEW BOSTON,TX,54,75570,666-19-7447,4/27/1990
RICHARD,W,HOFFMANN,21 BEAVER DAM,SYLVANIA,GA,16,30467,666-19-7522,4/28/1990
CATHERINE,,BOST,380 INT NORTH P STE 320,ATLANTA,GA,16,30339,666-19-7667,4/29/1990
MARY,J,BARKLEY,14 VISTA CLIFF,RICHARDSON,TX,54,75080,666-19-7703,4/30/1990
PIRCILLA,,MOODY,3383 S FOWLER,FRESNO,CA,9,93725,666-19-7822,5/1/1990
SUSAN,F,BARNES,7151 GASTON,DALLAS,TX,54,75214,666-19-7837,5/2/1990
JOHN,,GRANT,2621 TRUMPET,ROWLETT,TX,54,75088,666-19-7852,5/3/1990
MARYLON,,BYRD,911 RONA,CHATSWORTH,GA,16,30705,666-19-7905,5/4/1990
DENNIS,M,HALL,524 S 212TH,ELKHORN,NE,37,68022,666-19-7983,5/5/1990
RENEE,T,MISSBACH,5444 HOLLY SPRINGS,INDIANAPOLIS,IN,22,46254,666-19-8070,5/6/1990
PHYLLIS,C,MESLAR,3900 RR1,PELL CITY,AL,4,35125,666-19-8149,5/7/1990
MILA,,BAUTISTA,58 S BROAD W,METTER,GA,16,30439,666-19-8324,5/8/1990
TERRY,R,FYFFE,247 RR3,ROGERSVILLE,AL,4,35652,666-19-8370,5/9/1990
LACY,,HARPER,2497 LAKE,RADCLIFF,KY,24,40160,666-19-8432,5/10/1990
STANLEY,E,BLOCK,1105 N O CONNOR,IRVING,TX,54,75061,666-19-8447,5/11/1990
KEVIN,,MARTONE,1304 PARK MEADOW,FENTON,MO,32,63026,666-19-8511,5/12/1990
RICHARD,E,BATES          II,2741 SW 48TH,OKLAHOMA CITY,OK,45,73119,666-19-8545,5/13/1990
JOSEPHINE,,BROWN,49 BEACON HILL,WEST MILFORD,NJ,39,07480,666-19-8572,5/14/1990
USHA,,CHUGH,14349 WILLOW BEND,CHESTERFIELD,MO,32,63017,666-19-8666,5/15/1990
MARK,,BURNEIMER,2400 PICKWICK,CAMARILLO,CA,9,93010,666-19-8803,5/16/1990
TAMMY,,DOUCHTERMAN,PO BOX 1132,TULLAHOMA,TN,53,37388,666-19-8855,5/17/1990
MARY,E,MOVSHIN,5 OLONGAPO,EATONTOWN,NJ,39,07724,666-19-8868,5/18/1990
MICHAEL,R,MAURY,4398 WHISPRNG PNS,IRON MOUNTAIN,MI,30,49801,666-19-8905,5/19/1990
ZELMA,,JONES,920 PRYNNWOOD,O FALLON,MO,32,63366,666-19-8909,5/20/1990
CARRIE,A,COOPER,HQ I 38 INF,COLUMBUS,GA,16,31905,666-19-9026,5/21/1990
WILLIAM,T,BECTON,D,GROTON,MA,26,01450,666-19-9140,5/22/1990
CHERI,,HUELSING,9613 W CROSS,LITTLETON,CO,10,80123,666-19-9319,5/23/1990
NADINE,,JAWORSKI,5768 COUNTY ROAD 73,ROBSTOWN,TX,54,78380,666-19-9351,5/24/1990
KENT,C,HOLDEMAN,1115 MACKAY,SAINT LOUIS,MO,32,63104,666-19-9367,5/25/1990
BONNIE,J,EARL,2388 EASTLAKE,LOS ANGELES,CA,9,90031,666-19-9479,5/26/1990
LYDIA,R,HERNANDEZ,110 AIRMAN,OFFUTT A F B,NE,37,68113,666-19-9633,5/27/1990
MILDRED,A,MCKNIGHT,1305 LIVE OAK,BRENHAM,TX,54,77833,666-19-9682,5/28/1990
BRIAN,J,AMBERMAN,PO BOX 174,MEXIA,TX,54,76667,666-19-9692,5/29/1990
JUDY,,IRELAND,1611 GRANDON,KILLEEN,TX,54,76541,666-19-9695,5/30/1990
KAREN,S,DRESSELL,2413 PECAN TREE,MC KINNEY,TX,54,75070,666-19-9779,5/31/1990
LINDA,K,BILINSKI,1506 BATTLEFIELD,ROWLETT,TX,54,75088,666-19-9824,6/1/1990
VIRGINIA,M,BLOMBERG,172 RR3,ADAMSVILLE,AL,4,35005,666-19-9845,6/2/1990
SHELLY,,COLLIER,4141 ROSEMEADE,DALLAS,TX,54,75287,666-19-9845,6/3/1990
KAREN,S,DRESSEL,2443 LACLEDE STATION,SAINT LOUIS,MO,32,63143,666-19-9858,6/4/1990
TAMARA,,GAIGER,617 BELLE TERRE,BIRMINGHAM,AL,4,35226,666-19-9969,6/5/1990
KAREN,L,JACOBSON,726 REED,MONROE,GA,16,30655,666-19-9992,6/6/1990
PAMELA,,KITTLE,PO BOX 344,GREEN POND,AL,4,35074,666-20-0136,6/7/1990
CRAIG,A,LEGE,10409 N MACARTHUR,IRVING,TX,54,75063,666-20-0290,6/8/1990
JOANN,M,CAVILL,18160 OBERWALD,SPRING LAKE,MI,30,49456,666-20-0319,6/9/1990
ROBERT,E,DUNSON,23 GEORGETOWN,O FALLON,MO,32,63366,666-20-0354,6/10/1990
CURTIS,L,COSTON         JR,1086 W KING,MALVERN,PA,47,19355,666-20-0573,6/11/1990
SUSAN,A,MCGUIRK,1227 SUNSET,TEXAS CITY,TX,54,77590,666-20-0579,6/12/1990
GWENDOLYN,,MONTAZEMI,8030 E LAKESIDE,TUCSON,AZ,8,85730,666-20-0678,6/13/1990
PAULA,,CIUPKA,6300 BIRKDALE VALLEY,CHARLOTTE,NC,35,28277,666-20-0692,6/14/1990
CHARLES,E,GARRETT,3803 FERN,PASADENA,TX,54,77503,666-20-0777,6/15/1990
DUANE,C,BOLYARD,113 S SPRING,SIOUX FALLS,SD,52,57104,666-20-1290,6/16/1990
MARY,S,DUNSTON,147 BENDER,MORGAN HILL,CA,9,95037,666-20-1300,6/17/1990
OMER,,BEAUBRIN,PO BOX 223,WILLIAMSTOWN,KY,24,41097,666-20-1315,6/18/1990
ANITA,,HOLMAN,909 MANNING,GRAND PRAIRIE,TX,54,75051,666-20-1322,6/19/1990
SHIRLEY,,BROWN,107 FOREST EDGE,SEWICKLEY,PA,47,15143,666-20-1407,6/20/1990
DENNIS,A,KLOKER,214 E JIMMY,CANDOR,NC,35,27229,666-20-1469,6/21/1990
BOB,,HOUSTON,11 POPULAR,CUMBERLAND,MD,27,21502,666-20-1473,6/22/1990
AMY,L,CUMMINS,7920 BRIDGE,BALTIMORE,MD,27,21237,666-20-1571,6/23/1990
KELLY,A,KULAK,8550 SPRING VALLEY,DALLAS,TX,54,75240,666-20-1591,6/24/1990
TAMMY,J,ELLIS,508 S 4TH,ABERDEEN,SD,52,57401,666-20-1692,6/25/1990
HUNTER,H,HARRIS,305 EHLINGER,BRYAN,TX,54,77801,666-20-1694,6/26/1990
SUSAN,M,DUNN,1937 RR1,FORT MC COY,FL,14,32134,666-20-1730,6/27/1990
JANE,M,BOCK,14001 DANCING TWIG,GAINESVILLE,VA,56,20155,666-20-1800,6/28/1990
CHERYL,,HUELSING,6031 RIDGE,FLORENCE,KY,24,41042,666-20-1826,6/29/1990
JULIE,,DEGROAT,353 STARK,GREENSBURG,PA,47,15601,666-20-1857,6/30/1990
MARGARET,R,BRASSFIELD,PO BOX 24193,BARRIGADA,GU,17,96921,666-20-1858,7/1/1990
GREG,K,BARTLEY,1838 PLAZA DEL AMO,TORRANCE,CA,9,90501,666-20-1917,7/2/1990
DHIRAJLAL,,BABARIA,42731 ROAD 80,DINUBA,CA,9,93618,666-20-1981,7/3/1990
JO,A,ENZWEILER,1017 WESTERN,KELLER,TX,54,76248,666-20-1991,7/4/1990
JEANNETTE,A,KAEFFER,711 N WILTON,LOS ANGELES,CA,9,90038,666-20-1991,7/5/1990
TRACEY,L,BURMAN,3739 W J 10,LANCASTER,CA,9,93536,666-20-2090,7/6/1990
JOHN,,BOGGS,1800 OLD MEADOW,MC LEAN,VA,56,22102,666-20-2330,7/7/1990
KEITHER,L,BRYAN,452 SAPPHIRE,PITTSBURGH,PA,47,15224,666-20-2330,7/8/1990
JUDITH,,BENDER,2612 MICHAUX,HOUSTON,TX,54,77009,666-20-2335,7/9/1990
BARBARA,C,BARTLEY,8378 GATEWOOD,JESSUP,MD,27,20794,666-20-2390,7/10/1990
JAMES,W,BRATCHER,54 S GROVE,ELGIN,IL,21,60120,666-20-2456,7/11/1990
JOHN,M,BIRCKHEAD      JR,3962 FLORRIE,LAS VEGAS,NV,42,89121,666-20-2484,7/12/1990
PATRICIA,S,BARKLEY,14112 E TENNESSEE,AURORA,CO,10,80012,666-20-2663,7/13/1990
ROBERT,R,ECKERT,28 CORNWALL,HEMPSTEAD,NY,43,11550,666-20-2666,7/14/1990
TEQUITA,A,LUNSFORD,128 PEACHTREE MEMORIAL NW,ATLANTA,GA,16,30309,666-20-2881,7/15/1990
IRMA,I,BOYCE,1155 E NEWHALL,FRESNO,CA,9,93720,666-20-2885,7/16/1990
JOSEPH,P,BROOKS,383 4TH FL 2,WESTWOOD,NJ,39,07675,666-20-2931,7/17/1990
DELANI,,BAIR,14031 E ASHLAN,SANGER,CA,9,93657,666-20-2932,7/18/1990
EVONE,C,CHATMAN,127 DEER VALLEY,SEWICKLEY,PA,47,15143,666-20-3002,7/19/1990
JOSEPH,,LONG,3501 N GLADSTONE,INDIANAPOLIS,IN,22,46218,666-20-3037,7/20/1990
RAYMOND,E,HARTZ          JR,1811 FAIRBURN,LOS ANGELES,CA,9,90025,666-20-3064,7/21/1990
RUTH,,BEATON,516 W 17TH,WINSTON SALEM,NC,35,27105,666-20-3116,7/22/1990
R,S,BELL,371 S HENDRICKS,GREENWOOD,IN,22,46142,666-20-3166,7/23/1990
WILLIAM,,DUCKWORTH,14 W ELM,CHICAGO,IL,21,60610,666-20-3174,7/24/1990
GRETCHENO,,CONCEPCION,349 RODI,PITTSBURGH,PA,47,15235,666-20-3251,7/25/1990
CAROL,I,HESS,708 S STORY,IRVING,TX,54,75060,666-20-3257,7/26/1990
JEFFREY,D,BRAUNTZ,418 W AVENUE C,BISMARCK,ND,36,58501,666-20-3275,7/27/1990
HUGO,G,BASTERRECHEA,5358 RICHLANDS,JACKSONVILLE,NC,35,28540,666-20-3295,7/28/1990
JAMES,L,DAWSON,1703 E MARTHA,PASADENA,TX,54,77502,666-20-3340,7/29/1990
CYNTHIA,,MORALES,2815 E ST LIBERTY,MC KEESPORT,PA,47,15133,666-20-3428,7/30/1990
LORI,,ARCHAMBAULT,17225 COUNTY ROAD 9 NE,NEW LONDON,MN,31,56273,666-20-3496,7/31/1990
JANICE,M,LECATES,482 COUPERTHWAITEST,DANSBURY,CT,11,06810,666-20-3539,8/1/1990
ANN,M,GEORGE,PSC 812,FPO,AE,2,09627,666-20-3559,8/2/1990
JOHN,,CRAWFORD,7834 MAUREEN,INDIANAPOLIS,IN,22,46214,666-20-3562,8/3/1990
JOHN,G,BREITENBACH    JR,PO BOX 28,BOSSIER CITY,LA,25,71111,666-20-3606,8/4/1990
BONNIE,K,BREIGHNER,208 LAWTON,SYLVANIA,GA,16,30467,666-20-3670,8/5/1990
BRIDGET,B,KREMER,5964 E KINGS CANYON,FRESNO,CA,9,93727,666-20-3742,8/6/1990
DANNY,R,MAYNARD,322 MCKEE,PITTSBURGH,PA,47,15213,666-20-3798,8/7/1990
LIONEL,,FOX,25358 RONADA,VALENCIA,CA,9,91355,666-20-3800,8/8/1990
FRANK,D,DONATO,109 WINONA,HOPKINSVILLE,KY,24,42240,666-20-4057,8/9/1990
SARAH,,CROSBY,123 DOCK,LOUISVILLE,KY,24,40291,666-20-4101,8/10/1990
DONNA,L,BROUSSARD,671 MCCUMBER,ALLENHURST,GA,16,31301,666-20-4143,8/11/1990
JUANITA,,JOHNSON,518 OYSTER N,PALM BEACH,FL,14,33480,666-20-4170,8/12/1990
MARCOS,D,AQUILA,1210 N EUCLID,PIERRE,SD,52,57501,666-20-4242,8/13/1990
SARAH,,BOTTORF,7511 CANE RUN TRLR 129,LOUISVILLE,KY,24,40258,666-20-4346,8/14/1990
JEANNE,,CARPENTER,189 S MAIN TRLR 77,LAYTON,UT,55,84041,666-20-4361,8/15/1990
LYLE,,MERRIAM,13456 STOVER,CHARLEVOIX,MI,30,49720,666-20-4369,8/16/1990
PAULA,K,CIUPKA,309 KENDALL,BOERNE,TX,54,78015,666-20-4391,8/17/1990
LELA,E,BEARD,RR2 E,FPO NEW YORK,NY,43,09512,666-20-4403,8/18/1990
RUSSEL,L,BAILEY,641 LITTLE REST,WARREN,MA,26,01083,666-20-4419,8/19/1990
CHICANO,,GUILBEAUX,PO BOX 5543,ARLINGTON,TX,54,76005,666-20-4430,8/20/1990
EARNEST,L,GAMBLE,19 LOCKHOUSE,WESTFIELD,MA,26,01085,666-20-4464,8/21/1990
