csv_ApplicantFirst,csv_ApplicantMiddle,csv_ApplicantLast,csv_ApplicantStreet,csv_ApplicantCity,csv_ApplicantState,csv_ApplicantStateID,csv_ApplicantZip,csv_ApplicantSSN,csv_ApplicantDOB
PHYLLIS,A,BRANHAM,2815 KENSINGTON,PEARLAND,TX,54,77581,666-18-0543,9/14/1990
LACEY,E,HARPER,24838 NEWHALL,NEWHALL,CA,9,91321,666-18-0687,9/15/1990
J,,FINN,6734 ROBISON,SALINE,MI,30,48176,666-18-0771,9/16/1990
EARNEST,,BODZAK,6200 INDIAN SCHOOL NE,ALBUQUERQUE,NM,40,87110,666-18-0827,9/17/1990
MICHAEL,,GRIFFIN,6340 N 1ST,FRESNO,CA,9,93710,666-18-0836,9/18/1990
RICHARD,P,DOLATA,1173 TYLER,ANNAPOLIS,MD,27,21403,666-18-0945,9/19/1990
DONALD,L,BURKHART,4203 ATRIUM,SACRAMENTO,CA,9,95834,666-18-1034,9/20/1990
RANDOLF,F,BOOTS          SR,379 MEEK,SHARON,PA,47,16146,666-18-1143,9/21/1990
LARRY,C,BUSHNELL,320 WELCH,NASHVILLE,TN,53,37211,666-18-1162,9/22/1990
JOSEPH,P,BRADY,479 2ND AVE B 12,LIMON,CO,10,80828,666-18-1200,9/23/1990
DENNIS,P,HUNT,PO BOX 441,FORT SCOTT,KS,23,66701,666-18-1226,9/24/1990
PET,,BEHARRYSINGHLIZ,2550 ALHAMBRA,SACRAMENTO,CA,9,95817,666-18-1241,9/25/1990
ANN,,CORBISOR,7445 SW FLORENCE,PORTLAND,OR,46,97223,666-18-1386,9/26/1990
CLARA,H,BROOKS,1704 MOCKINGBIRD,MUNCIE,IN,22,47304,666-18-1522,9/27/1990
FLAIE,K,ELMORE,2767 GARDEN GROVE,GRAND PRAIRIE,TX,54,75052,666-18-1525,9/28/1990
ESTHER,,FULTON,2240 ETRINITY MILLS,CARROLLTON,TX,54,75006,666-18-1615,9/29/1990
EMILY,,BITTLINGER,1622 REVELL DOWNS,ANNAPOLIS,MD,27,21401,666-18-1749,9/30/1990
BARBARA,,BEVINS,2223I AVENUE E,BIRMINGHAM,AL,4,35218,666-18-1859,10/1/1990
KAREN,,BROOKS,1435 PENNSYLVANIA,ASHEBORO,NC,35,27203,666-18-1924,10/2/1990
DORIS,,BIBGHAM,1528 WITTEKIND,CINCINNATI,OH,44,45224,666-18-1994,10/3/1990
VILMA,,BECERRA,1046 ALTON STATION,LAWRENCEBURG,KY,24,40342,666-18-2071,10/4/1990
EDDIE,L,BRONNER,805 PRESS,LEXINGTON,KY,24,40508,666-18-2186,10/5/1990
TIMOTHY,W,INGLIS,15 MANOR,NEWTON,NJ,39,07860,666-18-2256,10/6/1990
SANDRA,,BILL,109 CAROLINE,OCEAN CITY,MD,27,21842,666-18-2257,10/7/1990
BARBARA,,BARTLEY,1241 SHARAZAD,OPA LOCKA,FL,14,33054,666-18-2278,10/8/1990
